source_ip,window_start,failed_attempts,avg_time_between,unique_usernames,success_ratio,label
192.168.0.10,2025-06-15 14:56:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-15 16:29:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-15 21:37:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-15 21:42:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-16 00:28:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-16 02:06:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-16 02:12:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-16 05:32:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-16 13:26:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-16 14:03:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-16 16:01:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-16 16:26:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-16 17:19:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-16 18:44:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-16 21:11:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 01:05:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 01:20:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 03:42:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 04:25:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 05:43:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 07:58:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 08:09:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 10:49:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 12:51:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 13:02:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 13:28:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 14:24:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 15:01:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 19:28:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-17 22:26:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-18 01:09:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-18 02:25:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-18 03:27:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-18 04:44:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-18 05:05:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-18 06:43:00,0,60.0,1,1.0,0
192.168.0.10,2025-06-18 08:35:00,0,60.0,1,1.0,0
192.168.0.11,2025-06-15 10:18:00,0,60.0,1,1.0,0
192.168.0.11,2025-06-15 17:44:00,0,60.0,1,1.0,0
